Categories,close,%Change,EMA50,lagged EMA50,RSI,RSI-based MA,RSI-RSIMA,ATR,ADX,MACD,RP,RHODL,RR,MVRV-Z,SupplyP,MinerFeeRev%,Thermocap,AA,AVGFees,Puell,INVCAP,ASOPR,AccuTrend,NUPL,BTCINFLATION,Liveliness,NVT,CVDD,SP500,NASDAQ,POSNEG
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
1,3250.4,-15.69%,3895.408,3921.735,27.24211,54.74499,-27.5029,312.9819,20.82422,-36.3792,1626.637,14402.81,0.00706,2.548682,12753095,6.60E-02,3.06E+09,773619,0.000574,2.514017,2.39E+10,0.956727,0.414071,0.498554,0.049085,0.564413,6.514297,761.2946,2495.62,6429.08,0
1,12839.99,-11.84%,12962.06,12967.04,41.98441,55.34097,-13.3566,1984.519,39.10379,259.2697,4950.296,74671.05,0.01871,4.314145,13613665,2.94E-01,4.84E+09,1009178,0.002262,3.222936,7.82E+10,1.061037,0.809552,0.612357,0.040795,0.602595,11.81188,1762.267,#N/A,#N/A,0
1,13308.06,-10.54%,13748.52,13766.49,42.88754,50.44409,-7.55655,1732.695,24.4313,53.79309,5330.473,72002.94,0.019202,3.974931,13125508,2.24E-01,5.20E+09,1223960,0.002065,3.848761,8.43E+10,1.028756,0.490867,0.596084,0.053818,0.606937,13.43181,1959.472,2767.56,7211.78,0
1,11570.01,-14.86%,13671.44,13757.22,36.64028,49.32975,-12.6895,1695.559,26.25201,-426.334,5362.68,52864.59,0.017069,2.951282,12700701,2.34E-01,5.34E+09,999056,0.001998,2.700667,8.48E+10,0.966649,0.341794,0.537538,0.044105,0.607446,8.245033,2001.143,2776.42,7223.69,0
1,9995,-10.14%,12612.62,12719.46,35.16951,39.18449,-4.01497,1377.956,38.74495,-912.226,5336.291,40274.23,0.014775,2.108843,11933928,7.13E-02,5.67E+09,838805,0.000678,2.280506,8.42E+10,0.936206,0.01123,0.463048,0.046293,0.607987,20.657,2085.416,2822.43,7402.48,0
1,9014.23,-10.75%,12376.83,12514.08,31.37458,38.89597,-7.52139,1360.654,41.15878,-1044.25,5308.177,40521.78,0.013167,1.691372,11807456,9.67E-02,5.70E+09,842398,0.000831,1.926568,8.37E+10,0.945928,0.038273,0.410704,0.044301,0.608278,16.51611,2101.704,2821.98,7385.86,0
1,8167.91,-11.60%,11963.66,12118.58,30.07435,36.9471,-6.87276,1383.148,44.63508,-1233.03,5259.149,38236.54,0.012073,1.337993,11546402,4.76E-02,5.75E+09,720904,0.000642,1.942247,8.28E+10,1.022959,0,0.360375,0.049386,0.608712,27.45463,2149.031,#N/A,#N/A,0
1,6905.19,-15.46%,11765.28,11963.66,25.88862,36.14851,-10.2599,1421.738,46.01559,-1387.27,5226.285,37175.27,0.010532,0.75467,10957465,6.99E-02,5.77E+09,903239,0.000804,1.764156,8.23E+10,0.899886,0.027246,0.252271,0.05137,0.611542,11.38888,2163.873,2648.94,6967.53,0
1,8207.03,-10.26%,10269.3,10353.48,36.32711,48.00687,-11.6798,952.7354,22.14028,-363.05,5347.188,25661.78,0.009811,1.23059,11108510,2.02E-02,6.47E+09,574881,0.000194,1.359501,8.40E+10,0.949022,0.005802,0.355042,0.039593,0.611603,25.16622,2313.099,2749.48,7496.81,0
1,7079.99,-10.86%,9365.951,9459.255,31.69589,40.3289,-8.63301,726.1353,29.28373,-522.243,5263.815,18759.25,0.007745,0.804087,10245399,1.41E-02,6.70E+09,565338,0.000141,1.175029,8.25E+10,0.925967,0.014771,0.265414,0.041768,0.609689,27.29461,2335.481,2640.87,7063.44,0
1,5605.46,-10.45%,6395.7,6427.954,18.68724,46.0457,-27.3585,161.0944,13.97496,-80.8123,4949.135,1219.482,0.002874,0.281167,8640000,1.51E-02,9.76E+09,727941,8.82E-05,0.618828,7.62E+10,0.96607,0.632817,0.137568,0.036081,0.590752,21.28927,2716.998,2701.58,7136.391,0
1,4733.5,-14.87%,6208.753,6268.968,11.66002,35.01707,-23.357,226.9434,29.3875,-292.342,4883.866,1488.138,0.002451,0.002814,8313924,2.47E-02,9.81E+09,674496,0.000149,0.500529,7.51E+10,0.909458,1,-0.00456,0.033619,0.591467,21.80933,2731.468,2690.73,7028.477,0
1,3774.99,-11.88%,5850.43,5935.142,12.99775,21.99974,-9.00198,315.8371,44.78906,-583.917,4808.109,1092.043,0.001974,-0.32846,7747264,1.71E-02,9.84E+09,579231,0.000125,0.462632,7.38E+10,0.922366,0.93594,-0.23996,0.038223,0.591735,34.78651,2737.796,#N/A,#N/A,0
1,11159.29,-13.68%,8614.287,8510.409,63.28076,71.94418,-8.66341,862.3931,40.49305,989.3233,5027.181,966.9534,0.00411,2.159374,16192162,1.01E-01,1.19E+10,891780,0.000554,2.001282,7.75E+10,1.065537,0.598307,0.550856,0.037099,0.608432,15.98746,3226.464,2924.92,7967.758,0
1,10185.03,-10.42%,10018.26,10011.45,44.95254,56.43763,-11.4851,1027.149,27.71922,400.331,5268.871,834.0069,0.003639,1.72729,14772222,2.20E-02,1.23E+10,592137,0.000134,1.790961,8.16E+10,0.992012,0.430986,0.486617,0.037825,0.608783,14.00596,3311.878,#N/A,#N/A,0
1,9422.72,-13.19%,10026.41,10051.05,41.52373,55.10879,-13.5851,1087.468,25.64582,158.0372,5270.716,794.2763,0.00346,1.480445,14344406,3.00E-02,1.23E+10,786194,0.000173,1.891572,8.16E+10,1.00328,0.473841,0.444476,0.042343,0.608566,15.48021,3316.779,3004.04,8222.797,0
1,8530.01,-12.01%,10190.93,10258.72,23.70808,45.48365,-21.7756,478.3188,21.7682,-215.944,5743.369,634.1442,0.002738,0.937113,11953694,1.92E-02,1.37E+10,836545,0.000109,1.49704,8.94E+10,0.997713,0.105009,0.332608,0.040698,0.611071,19.02098,3644.979,2966.6,7993.625,0
1,4857.1,-38.81%,8761.752,8921.125,15.62077,37.3122,-21.6914,637.8974,30.85784,-620.882,5705.594,1816.76,0.001504,-0.26061,7868332,3.04E-02,1.63E+10,917471,0.000169,0.815976,8.79E+10,0.836436,0.68093,-0.13762,0.038432,0.607041,11.03802,4059.517,2480.64,7201.801,0
1,10172.52,-10.73%,11071.87,11108.58,33.47583,51.40218,-17.9264,489.5969,21.4933,-18.28,6222.448,1618.529,0.001985,1.210987,14506509,1.43E-01,1.81E+10,980455,0.000432,0.671931,9.69E+10,1.004415,0.543497,0.392617,0.016052,0.597812,26.16859,4397.181,3455.06,11458.1,0
